"hgnc_symbol","uniprotswissprot","go_id","name_1006","definition_1006"
"CP","P00450","GO:0044267","cellular protein metabolic process","The chemical reactions and pathways involving a specific protein, rather than of proteins in general, occurring at the level of an individual cell. Includes cellular protein modification. [GOC:jl]"
"CP","P00450","GO:0072562","blood microparticle","A phospholipid microvesicle that is derived from any of several cell types, such as platelets, blood cells, endothelial cells, or others, and contains membrane receptors as well as other proteins characteristic of the parental cell. Microparticles are heterogeneous in size, and are characterized as microvesicles free of nucleic acids. [GOC:BHF, GOC:mah, PMID:16373184]"
"CP","P00450","GO:0043687","post-translational protein modification","The process of covalently altering one or more amino acids in a protein after the protein has been completely translated and released from the ribosome. [GOC:jsg]"
"CP","P00450","GO:0006825","copper ion transport","The directed movement of copper (Cu) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. [GOC:ai]"
"CP","P00450","GO:0005788","endoplasmic reticulum lumen","The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]"
"CP","P00450","GO:0051087","chaperone binding","Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport. [http://www.onelook.com]"
"F8","P00451","GO:0046872","metal ion binding","Interacting selectively and non-covalently with any metal ion. [GOC:ai]"
"F8","P00451","GO:0016491","oxidoreductase activity","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced. [GOC:go_curators]"
"F8","P00451","GO:0055114","oxidation-reduction process","A metabolic process that results in the removal or addition of one or more electrons to or from a substance, with or without the concomitant removal or addition of a proton or protons. [GOC:dhl, GOC:ecd, GOC:jh2, GOC:jid, GOC:mlg, GOC:rph]"
"F8","P00451","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"F8","P00451","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"F8","P00451","GO:0005507","copper ion binding","Interacting selectively and non-covalently with copper (Cu) ions. [GOC:ai]"
"F8","P00451","GO:0005886","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]"
"F8","P00451","GO:0030168","platelet activation","A series of progressive, overlapping events triggered by exposure of the platelets to subendothelial tissue. These events include shape change, adhesiveness, aggregation, and release reactions. When carried through to completion, these events lead to the formation of a stable hemostatic plug. [http://www.graylab.ac.uk/omd/]"
"F8","P00451","GO:0000139","Golgi membrane","The lipid bilayer surrounding any of the compartments of the Golgi apparatus. [GOC:mah]"
"F8","P00451","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]"
"F8","P00451","GO:0006953","acute-phase response","An acute inflammatory response that involves non-antibody proteins whose concentrations in the plasma increase in response to infection or injury of homeothermic animals. [ISBN:0198506732]"
"F8","P00451","GO:0002576","platelet degranulation","The regulated exocytosis of secretory granules containing preformed mediators such as histamine and serotonin by a platelet. [GOC:add]"
"F8","P00451","GO:0007596","blood coagulation","The sequential process in which the multiple coagulation factors of the blood interact, ultimately resulting in the formation of an insoluble fibrin clot; it may be divided into three stages: stage 1, the formation of intrinsic and extrinsic prothrombin converting principle; stage 2, the formation of thrombin; stage 3, the formation of stable fibrin polymers. [http://www.graylab.ac.uk/omd/, ISBN:0198506732]"
"F8","P00451","GO:0007599","hemostasis","The stopping of bleeding (loss of body fluid) or the arrest of the circulation to an organ or part. [ISBN:0198506732]"
"F8","P00451","GO:0005788","endoplasmic reticulum lumen","The volume enclosed by the membranes of the endoplasmic reticulum. [ISBN:0198547684]"
"F8","P00451","GO:0031093","platelet alpha granule lumen","The volume enclosed by the membrane of the platelet alpha granule. [GOC:mah, PMID:8467233]"
"F8","P00451","GO:0006888","ER to Golgi vesicle-mediated transport","The directed movement of substances from the endoplasmic reticulum (ER) to the Golgi, mediated by COP II vesicles. Small COP II coated vesicles form from the ER and then fuse directly with the cis-Golgi. Larger structures are transported along microtubules to the cis-Golgi. [GOC:ascb_2009, GOC:dph, GOC:jp, GOC:tb, ISBN:0716731363]"
"F8","P00451","GO:0048208","COPII vesicle coating","The addition of COPII proteins and adaptor proteins to ER membranes during the formation of transport vesicles, forming a vesicle coat. [GOC:ascb_2009, GOC:dph, GOC:jid, GOC:mah, GOC:tb, ISBN:0716731363, PMID:10219233]"
"F8","P00451","GO:0033116","endoplasmic reticulum-Golgi intermediate compartment membrane","The lipid bilayer surrounding any of the compartments of the endoplasmic reticulum (ER)-Golgi intermediate compartment system. [GOC:mah, GOC:pr, PMID:16723730]"
"F8","P00451","GO:0007597","blood coagulation, intrinsic pathway","A protein activation cascade that contributes to blood coagulation and consists of the interactions among high molecular weight kininogen, prekallikrein, and factor XII that lead to the activation of clotting factor X. [GOC:add, GOC:mah, GOC:pde]"
"F8","P00451","GO:0030134","COPII-coated ER to Golgi transport vesicle","A vesicle with a coat formed of the COPII coat complex proteins. The COPII coat complex is formed by the Sec23p/Sec24p and the Sec13p/Sec31p heterodimers. COPII-associated vesicles transport proteins from the rough endoplasmic reticulum to the Golgi apparatus (anterograde transport). [PMID:11252894, PMID:17499046, PMID:22160157, PMID:8004676, Wikipedia:COPII]"
"EGFR","P00533","GO:0008284","positive regulation of cell proliferation","Any process that activates or increases the rate or extent of cell proliferation. [GOC:go_curators]"
"EGFR","P00533","GO:0051897","positive regulation of protein kinase B signaling","Any process that activates or increases the frequency, rate or extent of protein kinase B signaling, a series of reactions mediated by the intracellular serine/threonine kinase protein kinase B. [GOC:ai]"
"EGFR","P00533","GO:0070374","positive regulation of ERK1 and ERK2 cascade","Any process that activates or increases the frequency, rate or extent of signal transduction mediated by the ERK1 and ERK2 cascade. [GOC:mah]"
"EGFR","P00533","GO:0005634","nucleus","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent. [GOC:go_curators]"
"EGFR","P00533","GO:0005737","cytoplasm","All of the contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures. [ISBN:0198547684]"
"EGFR","P00533","GO:0016020","membrane","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it. [GOC:dos, GOC:mah, ISBN:0815316194]"
"EGFR","P00533","GO:0016021","integral component of membrane","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane. [GOC:dos, GOC:go_curators]"
"EGFR","P00533","GO:0000166","nucleotide binding","Interacting selectively and non-covalently with a nucleotide, any compound consisting of a nucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose or deoxyribose. [GOC:mah, ISBN:0198547684]"
"EGFR","P00533","GO:0004672","protein kinase activity","Catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP. [MetaCyc:PROTEIN-KINASE-RXN]"
"EGFR","P00533","GO:0005524","ATP binding","Interacting selectively and non-covalently with ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator. [ISBN:0198506732]"
"EGFR","P00533","GO:0006468","protein phosphorylation","The process of introducing a phosphate group on to a protein. [GOC:hb]"
"EGFR","P00533","GO:0016740","transferase activity","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2. [ISBN:0198506732]"
"EGFR","P00533","GO:0016301","kinase activity","Catalysis of the transfer of a phosphate group, usually from ATP, to a substrate molecule. [ISBN:0198506732]"
"EGFR","P00533","GO:0016310","phosphorylation","The process of introducing a phosphate group into a molecule, usually with the formation of a phosphoric ester, a phosphoric anhydride or a phosphoric amide. [ISBN:0198506732]"
"EGFR","P00533","GO:0005794","Golgi apparatus","A compound membranous cytoplasmic organelle of eukaryotic cells, consisting of flattened, ribosome-free vesicles arranged in a more or less regular stack. The Golgi apparatus differs from the endoplasmic reticulum in often having slightly thicker membranes, appearing in sections as a characteristic shallow semicircle so that the convex side (cis or entry face) abuts the endoplasmic reticulum, secretory vesicles emerging from the concave side (trans or exit face). In vertebrate cells there is usually one such organelle, while in invertebrates and plants, where they are known usually as dictyosomes, there may be several scattered in the cytoplasm. The Golgi apparatus processes proteins produced on the ribosomes of the rough endoplasmic reticulum; such processing includes modification of the core oligosaccharides of glycoproteins, and the sorting and packaging of proteins for transport to a variety of cellular locations. Three different regions of the Golgi are now recognized both in terms of structure and function: cis, in the vicinity of the cis face, trans, in the vicinity of the trans face, and medial, lying between the cis and trans regions. [ISBN:0198506732]"
"EGFR","P00533","GO:0004713","protein tyrosine kinase activity","Catalysis of the reaction: ATP + a protein tyrosine = ADP + protein tyrosine phosphate. [EC:2.7.10]"
"EGFR","P00533","GO:0007169","transmembrane receptor protein tyrosine kinase signaling pathway","A series of molecular signals initiated by the binding of an extracellular ligand to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity, and ending with regulation of a downstream cellular process, e.g. transcription. [GOC:ceb, GOC:signaling]"
"EGFR","P00533","GO:0005886","plasma membrane","The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins. [ISBN:0716731363]"
"EGFR","P00533","GO:0005783","endoplasmic reticulum","The irregular network of unit membranes, visible only by electron microscopy, that occurs in the cytoplasm of many eukaryotic cells. The membranes form a complex meshwork of tubular channels, which are often expanded into slitlike cavities called cisternae. The ER takes two forms, rough (or granular), with ribosomes adhering to the outer surface, and smooth (with no ribosomes attached). [ISBN:0198506732]"
"EGFR","P00533","GO:0005789","endoplasmic reticulum membrane","The lipid bilayer surrounding the endoplasmic reticulum. [GOC:mah]"
"EGFR","P00533","GO:0005515","protein binding","Interacting selectively and non-covalently with any protein or protein complex (a complex of two or more proteins that may include other nonprotein molecules). [GOC:go_curators]"
"EGFR","P00533","GO:0007165","signal transduction","The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell. [GOC:go_curators, GOC:mtg_signaling_feb11]"
"EGFR","P00533","GO:0005576","extracellular region","The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite. [GOC:go_curators]"
"EGFR","P00533","GO:0004714","transmembrane receptor protein tyrosine kinase activity","Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate. [EC:2.7.10.1, GOC:mah]"
"EGFR","P00533","GO:0000139","Golgi membrane","The lipid bilayer surrounding any of the compartments of the Golgi apparatus. [GOC:mah]"
"EGFR","P00533","GO:0007275","multicellular organism development","The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]"
"EGFR","P00533","GO:0005615","extracellular space","That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid. [ISBN:0198547684]"
"EGFR","P00533","GO:0045121","membrane raft","Any of the small (10-200 nm), heterogeneous, highly dynamic, sterol- and sphingolipid-enriched membrane domains that compartmentalize cellular processes. Small rafts can sometimes be stabilized to form larger platforms through protein-protein and protein-lipid interactions. [PMID:16645198, PMID:20044567]"
"EGFR","P00533","GO:0005925","focal adhesion","Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments. [ISBN:0124325653, ISBN:0815316208]"
"EGFR","P00533","GO:0004709","MAP kinase kinase kinase activity","Catalysis of the phosphorylation and activation of a MAP kinase kinase; each MAP kinase kinase can be phosphorylated by any of several MAP kinase kinase kinases. [PMID:9561267]"
"EGFR","P00533","GO:0004716","signal transducer, downstream of receptor, with protein tyrosine kinase activity","Conveys a signal from an upstream receptor or intracellular signal transducer by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate. [EC:2.7.10.2]"
"EGFR","P00533","GO:0046854","phosphatidylinositol phosphorylation","The process of introducing one or more phosphate groups into a phosphatidylinositol, any glycerophosphoinositol having one phosphatidyl group esterified to one of the hydroxy groups of inositol. [ISBN:0198506732]"
"EGFR","P00533","GO:0042802","identical protein binding","Interacting selectively and non-covalently with an identical protein or proteins. [GOC:jl]"
"EGFR","P00533","GO:0046718","viral entry into host cell","The process that occurs after viral attachment by which a virus, or viral nucleic acid, breaches the plasma membrane or cell envelope and enters the host cell. The process ends when the viral nucleic acid is released into the host cell cytoplasm. [GOC:jl]"
"EGFR","P00533","GO:0005768","endosome","A vacuole to which materials ingested by endocytosis are delivered. [ISBN:0198506732, PMID:19696797]"
"EGFR","P00533","GO:0045944","positive regulation of transcription from RNA polymerase II promoter","Any process that activates or increases the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"
"EGFR","P00533","GO:0045296","cadherin binding","Interacting selectively and non-covalently with cadherin, a type I membrane protein involved in cell adhesion. [GOC:bf]"
"EGFR","P00533","GO:0051015","actin filament binding","Interacting selectively and non-covalently with an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits. [ISBN:0198506732]"
"EGFR","P00533","GO:0001934","positive regulation of protein phosphorylation","Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to amino acids within a protein. [GOC:hjd]"
"EGFR","P00533","GO:0033138","positive regulation of peptidyl-serine phosphorylation","Any process that activates or increases the frequency, rate or extent of the phosphorylation of peptidyl-serine. [GOC:mah]"
"EGFR","P00533","GO:0061024","membrane organization","A process which results in the assembly, arrangement of constituent parts, or disassembly of a membrane. A membrane is a double layer of lipid molecules that encloses all cells, and, in eukaryotes, many organelles; may be a single or double lipid bilayer; also includes associated proteins. [GOC:dph, GOC:tb]"
"EGFR","P00533","GO:0000165","MAPK cascade","An intracellular protein kinase cascade containing at least a MAPK, a MAPKK and a MAP3K. The cascade can also contain two additional tiers: the upstream MAP4K and the downstream MAP Kinase-activated kinase (MAPKAPK). The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell. [GOC:bf, GOC:mtg_signaling_feb11, PMID:20811974, PMID:9561267]"
"EGFR","P00533","GO:0003682","chromatin binding","Interacting selectively and non-covalently with chromatin, the network of fibers of DNA, protein, and sometimes RNA, that make up the chromosomes of the eukaryotic nucleus during interphase. [GOC:jl, ISBN:0198506732, PMID:20404130]"
"EGFR","P00533","GO:0008283","cell proliferation","The multiplication or reproduction of cells, resulting in the expansion of a cell population. [GOC:mah, GOC:mb]"
"EGFR","P00533","GO:0030335","positive regulation of cell migration","Any process that activates or increases the frequency, rate or extent of cell migration. [GOC:go_curators]"
"EGFR","P00533","GO:0043234","protein complex","A stable macromolecular complex composed (only) of two or more polypeptide subunits along with any covalently attached molecules (such as lipid anchors or oligosaccharide) or non-protein prosthetic groups (such as nucleotides or metal ions). Prosthetic group in this context refers to a tightly bound cofactor. The component polypeptide subunits may be identical. [GOC:go_curators, http://www.ebi.ac.uk/intact/complex/documentation/]"
"EGFR","P00533","GO:0010008","endosome membrane","The lipid bilayer surrounding an endosome. [GOC:mah]"
"EGFR","P00533","GO:0031625","ubiquitin protein ligase binding","Interacting selectively and non-covalently with a ubiquitin protein ligase enzyme, any of the E3 proteins. [GOC:vp]"
"EGFR","P00533","GO:0031901","early endosome membrane","The lipid bilayer surrounding an early endosome. [GOC:pz]"
"EGFR","P00533","GO:0003690","double-stranded DNA binding","Interacting selectively and non-covalently with double-stranded DNA. [GOC:elh, GOC:vw]"
"EGFR","P00533","GO:0001503","ossification","The formation of bone or of a bony substance, or the conversion of fibrous tissue or of cartilage into bone or a bony substance. [GOC:mtg_mpo, PMID:17572649]"
"EGFR","P00533","GO:0043066","negative regulation of apoptotic process","Any process that stops, prevents, or reduces the frequency, rate or extent of cell death by apoptotic process. [GOC:jl, GOC:mtg_apoptosis]"
"EGFR","P00533","GO:0031965","nuclear membrane","Either of the lipid bilayers that surround the nucleus and form the nuclear envelope; excludes the intermembrane space. [GOC:mah, GOC:pz]"
"EGFR","P00533","GO:0019899","enzyme binding","Interacting selectively and non-covalently with any enzyme. [GOC:jl]"
"EGFR","P00533","GO:0019903","protein phosphatase binding","Interacting selectively and non-covalently with any protein phosphatase. [GOC:jl]"
"EGFR","P00533","GO:0009986","cell surface","The external part of the cell wall and/or plasma membrane. [GOC:jl, GOC:mtg_sensu, GOC:sm]"
"EGFR","P00533","GO:0046982","protein heterodimerization activity","Interacting selectively and non-covalently with a nonidentical protein to form a heterodimer. [GOC:ai]"
"EGFR","P00533","GO:0046934","phosphatidylinositol-4,5-bisphosphate 3-kinase activity","Catalysis of the reaction: 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate + ATP = a 1-phosphatidyl-1D-myo-inositol 3,4,5-trisphosphate + ADP + 2 H(+). [EC:2.7.1.153, RHEA:21295]"
"EGFR","P00533","GO:0046777","protein autophosphorylation","The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation). [ISBN:0198506732]"
"EGFR","P00533","GO:0007173","epidermal growth factor receptor signaling pathway","A series of molecular signals initiated by binding of a ligand to the tyrosine kinase receptor EGFR (ERBB1) on the surface of a cell. The pathway ends with regulation of a downstream cellular process, e.g. transcription. [GOC:ceb, PR:000006933]"
"EGFR","P00533","GO:0005088","Ras guanyl-nucleotide exchange factor activity","Stimulates the exchange of guanyl nucleotides associated with a GTPase of the Ras superfamily. Under normal cellular physiological conditions, the concentration of GTP is higher than that of GDP, favoring the replacement of GDP by GTP in association with the GTPase. [GOC:mah]"
"EGFR","P00533","GO:0030307","positive regulation of cell growth","Any process that activates or increases the frequency, rate, extent or direction of cell growth. [GOC:go_curators]"
"EGFR","P00533","GO:0038128","ERBB2 signaling pathway","A series of molecular signals initiated by binding of a ligand to a member of the ERBB family of receptors on the surface of a cell, where the signal is transmitted by ERBB2. The pathway ends with regulation of a downstream cellular process, e.g. transcription. ERBB2 receptors are themselves unable to bind to ligands, but act as a signal-amplifying tyrosine kinase within a heterodimeric pair. [GOC:jc, PMID:16460914, PR:000002082, Reactome:REACT_115755.1]"
"EGFR","P00533","GO:1901185","negative regulation of ERBB signaling pathway","Any process that stops, prevents or reduces the frequency, rate or extent of ERBB signaling pathway. [GOC:BHF, GOC:TermGenie]"
"EGFR","P00533","GO:2000145","regulation of cell motility","Any process that modulates the frequency, rate or extent of cell motility. [GOC:mah]"
"EGFR","P00533","GO:0042177","negative regulation of protein catabolic process","Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the breakdown of a protein by the destruction of the native, active configuration, with or without the hydrolysis of peptide bonds. [GOC:go_curators, GOC:jl, PMID:10207076]"
"EGFR","P00533","GO:0042327","positive regulation of phosphorylation","Any process that activates or increases the frequency, rate or extent of addition of phosphate groups to a molecule. [GOC:jl]"
"EGFR","P00533","GO:0045740","positive regulation of DNA replication","Any process that activates or increases the frequency, rate or extent of DNA replication. [GOC:go_curators]"
"EGFR","P00533","GO:0042059","negative regulation of epidermal growth factor receptor signaling pathway","Any process that stops, prevents, or reduces the frequency, rate or extent of epidermal growth factor receptor signaling pathway activity. [GOC:go_curators]"
"EGFR","P00533","GO:0034614","cellular response to reactive oxygen species","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a reactive oxygen species stimulus. Reactive oxygen species include singlet oxygen, superoxide, and oxygen free radicals. [GOC:mah]"
"EGFR","P00533","GO:0045893","positive regulation of transcription, DNA-templated","Any process that activates or increases the frequency, rate or extent of cellular DNA-templated transcription. [GOC:go_curators, GOC:txnOH]"
"EGFR","P00533","GO:0071276","cellular response to cadmium ion","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cadmium (Cd) ion stimulus. [GOC:mah]"
"EGFR","P00533","GO:0001618","virus receptor activity","Combining with a virus component and mediating entry of the virus into the cell. [GOC:bf, GOC:dph, PMID:7621403, UniProtKB-KW:KW-1183]"
"EGFR","P00533","GO:0043235","receptor complex","Any protein complex that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function. [GOC:go_curators]"
"EGFR","P00533","GO:0006950","response to stress","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation). [GOC:mah]"
"EGFR","P00533","GO:0045739","positive regulation of DNA repair","Any process that activates or increases the frequency, rate or extent of DNA repair. [GOC:go_curators]"
"EGFR","P00533","GO:0050679","positive regulation of epithelial cell proliferation","Any process that activates or increases the rate or extent of epithelial cell proliferation. [GOC:ai]"
"EGFR","P00533","GO:0030665","clathrin-coated vesicle membrane","The lipid bilayer surrounding a clathrin-coated vesicle. [GOC:mah]"
"EGFR","P00533","GO:0051205","protein insertion into membrane","The process that results in the incorporation of a protein into a biological membrane.  Incorporation in this context means having some part or covalently attached group that is inserted into the the hydrophobic region of one or both bilayers. [GOC:ai]"
"EGFR","P00533","GO:0071364","cellular response to epidermal growth factor stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an epidermal growth factor stimulus. [GOC:mah]"
"EGFR","P00533","GO:0071392","cellular response to estradiol stimulus","Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of stimulus by estradiol, a C18 steroid hormone hydroxylated at C3 and C17 that acts as a potent estrogen. [GOC:mah]"
"EGFR","P00533","GO:1901224","positive regulation of NIK/NF-kappaB signaling","Any process that activates or increases the frequency, rate or extent of NIK/NF-kappaB signaling. [GOC:TermGenie]"
"EGFR","P00533","GO:0043406","positive regulation of MAP kinase activity","Any process that activates or increases the frequency, rate or extent of MAP kinase activity. [GOC:dph, GOC:go_curators]"
"EGFR","P00533","GO:0035413","positive regulation of catenin import into nucleus","Any process that increases the rate, frequency or extent of the directed movement of a catenin protein from the cytoplasm into the nucleus. [GOC:BHF]"
"EGFR","P00533","GO:0030122","AP-2 adaptor complex","A heterotetrameric AP-type membrane coat adaptor complex that consists of alpha, beta2, mu2 and sigma2 subunits, and links clathrin to the membrane surface of a vesicle, and the cargo receptors during receptor/clathrin mediated endocytosis. Vesicles with AP-2-containing coats are normally found primarily near the plasma membrane, on endocytic vesicles. In at least humans, the AP-2 complex can be heterogeneric due to the existence of multiple subunit isoforms encoded by different alpha genes (alphaA and alphaC). [GOC:mah, PMID:10611976, PMID:21097499, PMID:22022230, PMID:24322426]"
"EGFR","P00533","GO:0018108","peptidyl-tyrosine phosphorylation","The phosphorylation of peptidyl-tyrosine to form peptidyl-O4'-phospho-L-tyrosine. [RESID:AA0039]"
"EGFR","P00533","GO:0038083","peptidyl-tyrosine autophosphorylation","The phosphorylation by a protein of one or more of its own tyrosine amino acid residues, or a tyrosine residue on an identical protein. [PMID:10037737, PMID:10068444, PMID:10940390]"
"EGFR","P00533","GO:0030235","nitric-oxide synthase regulator activity","Modulates the activity of nitric oxide synthase. [GOC:mah]"
"EGFR","P00533","GO:0004888","transmembrane signaling receptor activity","Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction. [GOC:go_curators, Wikipedia:Transmembrane_receptor]"
"EGFR","P00533","GO:0005006","epidermal growth factor-activated receptor activity","Combining with an epidermal growth factor and transmitting the signal across the plasma membrane to initiate a change in cell activity. [GOC:bf]"
"EGFR","P00533","GO:0006357","regulation of transcription from RNA polymerase II promoter","Any process that modulates the frequency, rate or extent of transcription from an RNA polymerase II promoter. [GOC:go_curators, GOC:txnOH]"
"EGFR","P00533","GO:0007166","cell surface receptor signaling pathway","A series of molecular signals initiated by activation of a receptor on the surface of a cell. The pathway begins with binding of an extracellular ligand to a cell surface receptor, or for receptors that signal in the absence of a ligand, by ligand-withdrawal or the activity of a constitutively active receptor. The pathway ends with regulation of a downstream cellular process, e.g. transcription. [GOC:bf, GOC:mah, GOC:pr, GOC:signaling]"
"EGFR","P00533","GO:0007202","activation of phospholipase C activity","The initiation of the activity of the inactive enzyme phospolipase C as the result of a series of molecular signals generated as a consequence of a G-protein coupled receptor binding to its physiological ligand. [GOC:dph, GOC:mah, GOC:tb, PMID:8280098]"
"EGFR","P00533","GO:0007611","learning or memory","The acquisition and processing of information and/or the storage and retrieval of this information over time. [GOC:jid, PMID:8938125]"
