InteractorA	InteractorB	Sources	CrossConfidence	StandardConfidence	PublicationCount	Publications
Q99653	Q6AI14	Biogrid, Hprd	1	1	1	12576672
Q99653	Q14940	Biogrid, Hprd	1	1	1	12576672
Q12879	Q14289	Biogrid, Hprd	2	2	2	12576483, 11478920
Q92796	Q14289	Biogrid, Hprd	1	1	1	12576483
P78352	Q14289	Biogrid, Hprd	1	1	1	12576483
P51149	P24386	Biogrid, Hprd	1	1	2	12576024, 9563513
P42261	O43424	Biogrid, Hprd	2	2	1	12573530
Q13002	O43424	Biogrid, Hprd	2	2	1	12573530
Q16478	O43424	Biogrid, Hprd	2	2	1	12573530
Q9Y6D5	P13861	Biogrid, Hprd	1	1	1	12571360
P52565	O96019	Biogrid, Hprd	1	1	1	16169070
Q9BWV1	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q8TDN6	Q9UBT2	Biogrid, Hprd	1	1	1	16169070
Q8TDN6	Q13432	Biogrid, Hprd	1	1	1	16169070
P35544	Q7L5N1	Biogrid, Hprd	1	1	1	16169070
Q8WVR3	O95807	Biogrid, Hprd	1	1	1	16169070
Q96RP7	P12956	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q9P298	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q9NZD4	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q96FK6	Biogrid, Hprd	1	1	1	16169070
P0CAP2	Q8IWZ3	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q8IWZ3	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q8NEV4	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	B2RTY4	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	O14949	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q96GD3	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q86VK4	Biogrid, Hprd	1	1	1	16169070
Q9Y328	Q8N357	Biogrid, Hprd	1	1	1	16169070
Q12988	Q6X4W1	Biogrid, Hprd	1	1	1	16169070
P56537	Q8NE71	Biogrid, Hprd	1	1	1	16169070
P56537	Q96B36	Biogrid, Hprd	1	1	1	16169070
P56537	Q9NWY4	Biogrid, Hprd	1	1	1	16169070
P56537	Q92665	Biogrid, Hprd	1	1	1	16169070
P56537	O75665	Biogrid, Hprd	1	1	1	16169070
P56537	Q9UH03	Biogrid, Hprd	1	1	1	16169070
P56537	Q8TEY7	Biogrid, Hprd	1	1	1	16169070
P56537	O76024	Biogrid, Hprd	1	1	1	16169070
O43240	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
A0JLT2	Q96JH8	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q8N2U0	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q9H3H1	Biogrid, Hprd	1	1	1	16169070
Q9UHY1	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q8NC51	Q14802	Biogrid, Hprd	1	1	1	16169070
Q04941	O95163	Biogrid, Hprd	1	1	1	16169070
Q96I34	Q9NRX4	Biogrid, Hprd	1	1	1	16169070
Q8WXF1	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q86U06	P68366	Biogrid, Hprd	1	1	1	16169070
P32969	O94875	Biogrid, Hprd	1	1	1	16169070
Q9Y2P4	Q9NTM9	Biogrid, Hprd	1	1	1	16169070
Q9Y2P4	O14798	Biogrid, Hprd	1	1	1	16169070
Q9Y2P4	P08670	Biogrid, Hprd	1	1	1	16169070
Q9Y6H5	Q8N5H7	Biogrid, Hprd	1	1	1	16169070
P67812	Q8N357	Biogrid, Hprd	1	1	1	16169070
Q9NRL3	Q9BT17	Biogrid, Hprd	1	1	1	16169070
Q96KB5	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q13509	Q969W0	Biogrid, Hprd	1	1	1	16169070
Q13509	Q01101	Biogrid, Hprd	1	1	1	16169070
Q13509	Q68CR1	Biogrid, Hprd	1	1	1	16169070
Q13509	Q15012	Biogrid, Hprd	1	1	1	16169070
Q13509	Q13084	Biogrid, Hprd	1	1	1	16169070
Q13509	Q8WWQ0	Biogrid, Hprd	1	1	1	16169070
Q13509	Q9Y6N7	Biogrid, Hprd	1	1	1	16169070
P0CG48	Q9Y2H0	Biogrid, Hprd	1	1	1	16169070
Q9Y2M5	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q15669	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q15669	Q9BVJ6	Biogrid, Hprd	1	1	1	16169070
Q9H1I8	Q96JH8	Biogrid, Hprd	1	1	1	16169070
P18847	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P05026	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P35226	Q16891	Biogrid, Hprd	1	1	2	16169070, 24457600
P35226	Q9P2H0	Biogrid, Hprd	1	1	1	16169070
P35226	P21246	Biogrid, Hprd	1	1	1	16169070
Q8TDN6	P09326	Biogrid, Hprd	1	1	1	16169070
Q8TDN6	Q15047	Biogrid, Hprd	1	1	1	16169070
O43379	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P78560	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P50238	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q9NX09	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q14247	Q12873	Biogrid, Hprd	1	1	1	16169070
O95571	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P22607	Q96JH8	Biogrid, Hprd	1	1	1	16169070
Q3KQU3	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q9H7E9	Q5JY77	Biogrid, Hprd	1	1	1	16169070
P02774	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q6IB77	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	P05090	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q13574	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q9P2H0	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	Q9BQ04	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	P35998	Biogrid, Hprd	1	1	1	16169070
Q6EEV4	P62424	Biogrid, Hprd	1	1	1	16169070
O43504	Q5JY77	Biogrid, Hprd	1	1	1	16169070
P30519	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q12988	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9NZL4	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9BWC9	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P56537	Q96P50	Biogrid, Hprd	1	1	1	16169070
P56537	Q96HD1	Biogrid, Hprd	1	1	1	16169070
P56537	Q9BWH2	Biogrid, Hprd	1	1	1	16169070
P56537	P08559	Biogrid, Hprd	1	1	1	16169070
P56537	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P56537	Q02878	Biogrid, Hprd	1	1	2	16169070, 22939629
P56537	Q9BZI7	Biogrid, Hprd	1	1	1	16169070
Q8IX03	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	O95445	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q12789	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q14181	Biogrid, Hprd	1	1	1	16169070
Q15013	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P42568	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P51948	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P82932	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P55769	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9UGL9	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O75665	Q5JY77	Biogrid, Hprd	1	1	1	16169070
P09466	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O60925	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q9H4M7	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O60828	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P51159	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q92963	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q8N5U6	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q86U06	Q12789	Biogrid, Hprd	1	1	1	16169070
Q86U06	Q14181	Biogrid, Hprd	1	1	1	16169070
Q86U06	P21246	Biogrid, Hprd	1	1	1	16169070
P61513	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P23921	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O95295	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q9UQ90	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q93045	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q13190	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P13385	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q92734	Q5JY77	Biogrid, Hprd	1	1	1	16169070
Q15583	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O43657	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P25445	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13509	Q14155	Biogrid, Hprd	1	1	1	16169070
Q13509	O95166	Biogrid, Hprd	1	1	1	16169070
Q13509	Q969X0	Biogrid, Hprd	1	1	1	16169070
Q15029	O15145	Biogrid, Hprd	1	1	1	16169070
Q15819	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P42330	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P36405	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P35226	Q92993	Biogrid, Hprd	1	1	1	16169070
P35226	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O15182	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P17540	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O14717	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P54259	O95251	Biogrid, Hprd	1	1	1	16169070
O95544	P26641	Biogrid, Hprd	1	1	1	16169070
P51114	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q03013	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O43504	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P01909	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P09429	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P30519	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P11142	P0CG48	Biogrid, Hprd	1	1	1	16169070
P04792	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q02363	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P56537	P63261	Biogrid, Hprd	1	1	1	16169070
P56537	Q8TC92	Biogrid, Hprd	1	1	1	16169070
P56537	Q9Y2X7	Biogrid, Hprd	1	1	1	16169070
P56537	O00291	Biogrid, Hprd	1	1	1	16169070
P56537	Q14181	Biogrid, Hprd	1	1	1	16169070
Q99547	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q8NC51	P08670	Biogrid, Hprd	1	1	1	16169070
Q9UN74	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O14737	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O60925	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P07737	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9Y3A3	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q00887	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P52756	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P05109	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P23246	P0CG48	Biogrid, Hprd	1	1	3	16169070, 16196087, 23314748
Q9Y2P4	P63244	Biogrid, Hprd	1	1	1	16169070
P63162	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P49888	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13509	Q13838	Biogrid, Hprd	1	1	1	16169070
Q13509	Q8WVB3	Biogrid, Hprd	1	1	1	16169070
Q13509	Q07666	Biogrid, Hprd	1	1	1	16169070
Q13509	P02787	Biogrid, Hprd	1	1	1	16169070
P08670	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P60953	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P42773	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q14061	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P54259	Q04724	Biogrid, Hprd	1	1	1	16169070
Q99873	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P61604	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P56537	P05091	Biogrid, Hprd	1	1	1	16169070
P56537	Q9P2H0	Biogrid, Hprd	1	1	1	16169070
Q16363	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	Q9Y3C7	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	P21246	Biogrid, Hprd	1	1	1	16169070
Q9BTY7	P27694	Biogrid, Hprd	1	1	1	16169070
O15235	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13765	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P00491	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q15102	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P19387	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9H1D9	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
O00231	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13200	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P40937	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q86U06	P27694	Biogrid, Hprd	1	1	1	16169070
P05386	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P21673	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P50453	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9Y2P4	Q12873	Biogrid, Hprd	1	1	1	16169070
P68371	P36957	Biogrid, Hprd	1	1	1	16169070
P17028	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q9H1I8	Q13573	Biogrid, Hprd	1	1	1	16169070
P16870	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
P54259	P08670	Biogrid, Hprd	1	1	1	16169070
Q86U06	Q9Y3C7	Biogrid, Hprd	1	1	1	16169070
Q86U06	Q9P2H0	Biogrid, Hprd	1	1	1	16169070
P15927	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13228	Q5T3J3	Biogrid, Hprd	1	1	1	16169070
Q13509	P26641	Biogrid, Hprd	1	1	1	16169070
P68036	Q8IWT3	Biogrid, Hprd	1	1	2	10521492, 12526791
Q13191	P43403	Biogrid, Hprd	2	2	2	10074432, 21453975
P56159	Q99748	Biogrid, Hprd	1	1	2	9407096, 10829012
O00451	Q99748	Biogrid, Hprd	1	1	2	9407096, 10829012
O00451	P39905	Biogrid, Hprd	1	1	2	9407096, 10829012
P07237	P01266	Biogrid, Hprd	1	1	1	10636893
Q92574	P63104	Biogrid, Hprd	1	1	1	12176984
P04150	O60244	Biogrid, Hprd	1	1	1	10508170
P04150	Q99816	Biogrid, Hprd	1	1	2	10508170, 15657031
P10275	Q99816	Biogrid, Hprd	1	1	2	10508170, 23146908
P62993	P56945	Biogrid, Hprd	1	1	5	10822386, 10085298, 16105984, 8700507, 8649368
Q05516	P15976	Biogrid, Hprd	2	2	1	12242665
P49768	P14136	Biogrid, Hprd	1	1	1	12058025
Q05707	P07585	Biogrid, Hprd	1	1	1	9252349
Q13424	O94925	Biogrid, Hprd	1	1	1	11163757
P31749	P51617	Biogrid, Hprd	2	2	1	11976320
P31483	Q14296	Biogrid, Hprd	1	1	1	7544399
P02511	O75390	Biogrid, Hprd	1	1	2	11377425, 16274233
O43353	O15519	Biogrid, Hprd	2	2	1	9575181
O15524	Q9Y4H2	Biogrid, Hprd	2	2	2	12228220, 27507812
P35568	O15524	Biogrid, Hprd	2	2	3	12228220, 17276034, 11208867
P11912	P43405	Biogrid, Hprd	1	1	1	7500027
P40259	P43405	Biogrid, Hprd	1	1	3	7500027, 7538118, 12453414
Q99665	O60674	Biogrid, Hprd	1	1	1	10198225
P19174	P12931	Biogrid, Hprd	2	2	5	7510703, 8885868, 8657103, 1689310, 7682059
Q01094	Q12888	Biogrid, Hprd	1	1	1	8896460
P10721	P21926	Biogrid, Hprd	2	2	1	12036870
P10721	P60033	Biogrid, Hprd	2	2	1	12036870
P10586	Q13136	Biogrid, Hprd	1	1	4	8524829, 7796809, 9624153, 27880917
P23468	Q13136	Biogrid, Hprd	1	1	2	8524829, 9624153
Q13136	Q13332	Biogrid, Hprd	1	1	3	8524829, 9624153, 27880917
P40763	Q06124	Biogrid, Hprd	2	2	1	11594781
P42224	P19525	Biogrid, Hprd	1	1	2	9135145, 11278865
Q9NRF2	P22607	Biogrid, Hprd	1	1	1	11827956
Q15306	P42226	Biogrid, Hprd	1	1	2	10601358, 11342629
Q08881	P52292	Biogrid, Hprd	1	1	1	11581171
P52732	Q14203	Biogrid, Hprd	1	1	1	9235942
P52732	P52732	Biogrid, Hprd	1	1	2	9235942, 11328809
Q12982	P60953	Biogrid, Hprd	1	1	3	10799524, 10954711, 10551883
P27986	P42768	Biogrid, Hprd	1	1	2	8805332, 10358777
P12931	P42768	Biogrid, Hprd	1	1	2	8805332, 8824280
P19174	P42768	Biogrid, Hprd	1	1	3	8805332, 8824280, 8892607
P62993	P42768	Biogrid, Hprd	1	1	3	8805332, 9307968, 10224664
P23528	P68133	Biogrid, Hprd	1	1	4	11950878, 21723825, 11707283, 10366597
P18206	Q9UQ03	Biogrid, Hprd	2	2	1	10224093
P02452	P17301	Biogrid, Hprd	2	2	3	2156854, 11359786, 11856343
O75197	O15169	Biogrid, Hprd	2	2	3	11336703, 18632848, 18762581
O60674	P19235	Biogrid, Hprd	1	1	4	11779507, 8343951, 14982882, 12441334
Q13976	Q9Y6F6	Biogrid, Hprd	1	1	2	10724174, 11309393
Q14643	Q9Y6F6	Biogrid, Hprd	2	2	1	10724174
Q13813	P17661	Biogrid, Hprd	2	2	1	2939097
P55040	Q9P107	Biogrid, Hprd	1	1	1	12093360
P17947	Q03060	Biogrid, Hprd	1	1	1	7730336
P17947	P18846	Biogrid, Hprd	1	1	1	7730336
Q08499	Q08499	Biogrid, Hprd	1	1	1	12387865
P20929	P28289	Biogrid, Hprd	1	1	1	11016930
P06213	Q8WU20	Biogrid, Hprd	1	1	1	10650943
Q96HF1	P56705	Biogrid, Hprd	2	2	1	9853965
P25098	Q13371	Biogrid, Hprd	1	1	1	10884381
P25098	P20941	Biogrid, Hprd	1	1	1	10884381
P35869	Q15843	Biogrid, Hprd	1	1	1	12215427
Q13596	P25116	Biogrid, Hprd	1	1	1	12058063
O14964	P35240	Biogrid, Hprd	1	1	4	11285248, 10861283, 12444101, 12444102
P24385	P21675	Biogrid, Hprd	1	1	2	9926939, 11126356
P07996	Q07954	Biogrid, Hprd	1	1	3	14991768, 9045712, 7775583
P49848	P21675	Biogrid, Hprd	1	1	5	7667268, 12453419, 22939629, 26344197, 14580349
P49848	P29083	Biogrid, Hprd	1	1	2	7667268, 7926747
P31150	Q9H0U4	Biogrid, Hprd	2	2	3	8836150, 26186194, 28514442
Q9BZR8	Q07817	Biogrid, Hprd	2	2	1	11054413
O95819	P20936	Biogrid, Hprd	2	2	1	10669731
P15498	Q04759	Biogrid, Hprd	2	2	1	10725744
P05067	P23142	Biogrid, Hprd	1	1	1	11238726
Q9UM63	P04637	Biogrid, Hprd	1	1	1	11360197
P25800	P17542	Biogrid, Hprd	1	1	2	8078932, 7957052
Q8WV28	P15498	Biogrid, Hprd	2	2	1	9697839
Q92496	Q92496	Biogrid, Hprd	2	2	1	9038172
P08575	P09466	Biogrid, Hprd	2	2	1	12556471
P16591	Q14247	Biogrid, Hprd	1	1	3	9722593, 9748248, 10921917
P16591	P16591	Biogrid, Hprd	1	1	4	9722593, 26702831, 10998246, 17192257
P14778	Q9NPH3	Biogrid, Hprd	2	2	2	9371760, 24735611
Q9NPH3	P51617	Biogrid, Hprd	2	2	2	9371760, 24735611
P48745	P05019	Biogrid, Hprd	1	1	1	10084601
P48745	P01344	Biogrid, Hprd	1	1	1	10084601
P48745	P01308	Biogrid, Hprd	1	1	1	10084601
P55286	P35222	Biogrid, Hprd	2	2	2	9521872, 28514442
Q8N1F8	Q15831	Biogrid, Hprd	1	1	1	11741830
P40763	Q9NPH3	Biogrid, Hprd	2	2	1	9923604
Q9NR28	Q9NR28	Biogrid, Hprd	2	2	2	10972280, 20957035
P42574	Q13114	Biogrid, Hprd	1	1	2	11261798, 11098060
P67870	P38936	Biogrid, Hprd	1	1	1	10679299
Q16623	O14810	Biogrid, Hprd	1	1	4	10449403, 11832227, 12200427, 7553862
P24390	Q8N6T3	Biogrid, Hprd	1	1	2	9405360, 11703931
O00116	O15228	Biogrid, Hprd	1	1	1	10215861
P24928	O14776	Biogrid, Hprd	1	1	3	10908677, 17218272, 9315662
P62328	P68133	Biogrid, Hprd	1	1	2	11812134, 9153421
P26678	O14983	Biogrid, Hprd	2	2	3	12032137, 10551848, 11526231
P26678	P16615	Biogrid, Hprd	1	1	4	12032137, 11854448, 10809745, 11526231
O14965	P15531	Biogrid, Hprd	1	1	1	12490715
Q9Y4H2	Q06124	Biogrid, Hprd	2	2	1	8910607
Q99627	Q99627	Biogrid, Hprd	1	1	2	9707402, 12615944
P23469	Q14721	Biogrid, Hprd	1	1	2	10921884, 12615930
P06241	O60674	Biogrid, Hprd	1	1	1	10551884
P01732	P01732	Biogrid, Hprd	2	2	3	9550407, 8127870, 9177355
O95071	Q92547	Biogrid, Hprd	1	1	1	11714696
P05067	O96018	Biogrid, Hprd	1	1	3	12196555, 10049767, 28514442
P31749	P12268	Biogrid, Hprd	1	1	1	10930578
P68400	P14317	Biogrid, Hprd	1	1	2	11988074, 10806407
Q14512	Q14512	Biogrid, Hprd	2	2	1	11291074
P01024	P27918	Biogrid, Hprd	1	1	2	11513971, 3421908
P11308	P05412	Biogrid, Hprd	1	1	1	11278640
O15061	P17661	Biogrid, Hprd	1	1	1	11353857
P36575	P08100	Biogrid, Hprd	1	1	1	9852134
P50461	Q86WU2	Biogrid, Hprd	1	1	1	12127981
P62166	P14416	Biogrid, Hprd	1	1	1	12351722
P62166	P35462	Biogrid, Hprd	1	1	1	12351722
P02776	P07204	Biogrid, Hprd	1	1	1	9395524
P02776	P04070	Biogrid, Hprd	1	1	1	9395524
Q16512	P07196	Biogrid, Hprd	1	1	1	8621664
P12036	Q16512	Biogrid, Hprd	1	1	1	8621664
Q9Y5Y6	O43278	Biogrid, Hprd	2	2	1	10373425
Q93045	O76081	Biogrid, Hprd	1	1	1	11882662
Q9UPY6	P61158	Biogrid, Hprd	1	1	1	10381382
Q9Y6W5	P61158	Biogrid, Hprd	1	1	2	10381382, 9889097
P48729	Q86SS6	Biogrid, Hprd	2	2	1	12062430
P48729	P52292	Biogrid, Hprd	2	2	1	12062430
P09601	P09601	Biogrid, Hprd	2	2	1	12500973
O14939	P17252	Biogrid, Hprd	2	2	1	11042115
P49418	O14939	Biogrid, Hprd	1	1	1	10764771
O00499	O14939	Biogrid, Hprd	1	1	1	10764771
P51572	P35580	Biogrid, Hprd	2	2	2	10958671, 12605685
P51572	P63261	Biogrid, Hprd	2	2	2	10958671, 12605685
P55199	P04637	Biogrid, Hprd	1	1	2	10358050, 8016121
Q9Y4H2	Q92569	Biogrid, Hprd	2	2	2	10417350, 28514442
P01031	P13671	Biogrid, Hprd	1	1	2	1387399, 2808363
P01031	P10643	Biogrid, Hprd	1	1	1	1387399
P10275	P10606	Biogrid, Hprd	1	1	1	11719263
Q9Y698	P48058	Biogrid, Hprd	2	2	1	11140673
Q9Y698	P42261	Biogrid, Hprd	2	2	1	11140673
Q9Y698	P78352	Biogrid, Hprd	1	1	3	11140673, 11805122, 12359873
Q9Y698	Q12959	Biogrid, Hprd	2	2	2	11140673, 16637659
Q14831	Q9NRD5	Biogrid, Hprd	1	1	2	11007882, 11891216
P17252	Q9NRD5	Biogrid, Hprd	1	1	2	11007882, 9405395
P14784	P29353	Biogrid, Hprd	1	1	2	10602027, 8294403
P14784	P62993	Biogrid, Hprd	1	1	1	10602027
P14784	P42224	Biogrid, Hprd	1	1	1	10602027
P14784	P40763	Biogrid, Hprd	1	1	1	10602027
Q8N726	Q66K89	Biogrid, Hprd	1	1	1	12446718
P04637	Q66K89	Biogrid, Hprd	1	1	4	12446718, 10644996, 16652157, 17110336
P68400	P56270	Biogrid, Hprd	1	1	1	10448092
P47872	P09683	Biogrid, Hprd	1	1	3	9440501, 8579602, 7782300
P17677	Q15276	Biogrid, Hprd	1	1	1	9742146
Q86YS3	Q86YS3	Biogrid, Hprd	1	1	1	12470645
Q86YS3	O75154	Biogrid, Hprd	1	1	2	12470645, 28514442
Q86YS3	Q7L804	Biogrid, Hprd	1	1	1	12470645
Q86YS3	Q9BXF6	Biogrid, Hprd	1	1	1	12470645
Q14978	P38432	Biogrid, Hprd	1	1	1	9679133
P29590	P06400	Biogrid, Hprd	1	1	1	9448006
P53618	P84077	Biogrid, Hprd	1	1	4	10720466, 10921873, 15202998, 10318838
Q9Y678	P84077	Biogrid, Hprd	2	2	1	10720466
P51681	P49407	Biogrid, Hprd	1	1	1	12065593
Q9Y566	Q9UQB8	Biogrid, Hprd	1	1	1	12504591
P33240	Q12996	Biogrid, Hprd	1	1	3	10669729, 22939629, 26344197
Q6KF10	O00238	Biogrid, Hprd	1	1	1	9525338
Q6KF10	Q13873	Biogrid, Hprd	1	1	1	9525338
Q6KF10	P36894	Biogrid, Hprd	1	1	1	9525338
P20936	P49023	Biogrid, Hprd	2	2	1	10092539
O14607	Q04724	Biogrid, Hprd	1	1	1	9854018
O15550	Q04724	Biogrid, Hprd	1	1	1	9854018
O14607	Q04725	Biogrid, Hprd	1	1	1	9854018
P00519	P04637	Biogrid, Hprd	1	1	2	10629029, 10713716
P19532	P19532	Biogrid, Hprd	1	1	1	2044953
P35606	P53621	Biogrid, Hprd	1	1	9	10921873, 9751720, 9482852, 14729954, 22939629, 22863883, 26344197, 8940050, 8537409
P10070	P16220	Biogrid, Hprd	1	1	1	10074179
Q01094	O15151	Biogrid, Hprd	1	1	1	12532331
P05412	P12755	Biogrid, Hprd	2	2	1	12034730
Q03405	Q12884	Biogrid, Hprd	1	1	1	12376466
O14543	P16471	Biogrid, Hprd	2	2	1	11713228
Q06413	P08047	Biogrid, Hprd	1	1	1	9748305
P04150	O75376	Biogrid, Hprd	1	1	5	12569182, 12011091, 15870285, 15016838, 28611094
P62993	P17600	Biogrid, Hprd	1	1	3	8022809, 8552632, 10899172
O43747	P84077	Biogrid, Hprd	1	1	1	11926829
O00203	P62330	Biogrid, Hprd	1	1	1	11926829
P46108	P29320	Biogrid, Hprd	2	2	1	11870224
Q09161	P52597	Biogrid, Hprd	1	1	1	9111328
P52298	P52597	Biogrid, Hprd	1	1	1	9111328
Q09161	P31943	Biogrid, Hprd	1	1	1	9111328
P52298	P31943	Biogrid, Hprd	1	1	1	9111328
P53611	P20336	Biogrid, Hprd	1	1	3	8706741, 12535645, 7991565
P51610	Q16342	Biogrid, Hprd	1	1	1	12149646
Q16342	O75376	Biogrid, Hprd	2	2	1	12149646
Q9Y678	O14579	Biogrid, Hprd	1	1	6	10921873, 9751720, 22939629, 22863883, 26344197, 28514442
P84077	O14579	Biogrid, Hprd	1	1	1	10921873
P51654	P09038	Biogrid, Hprd	2	2	1	12478660
P17535	Q92905	Biogrid, Hprd	2	2	2	8837781, 21145461
Q16787	P34741	Biogrid, Hprd	1	1	1	11373281
P42229	O60674	Biogrid, Hprd	1	1	5	9575217, 9047382, 7925280, 8617237, 11413148
